Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
ALABAMA CLINICAL SCHOOL,Alabama,100183,JEFFERSON COUNTY,AL ,ALABAMA CLINICAL SCHOOL
ALABAMA CORRECTIONAL FACILITIES,Alabama,100176,MONTGOMERY COUNTY,AL ,ALABAMA CORRECTIONAL FACILITIES
ALABAMA SCHOOL OF FINE ARTS,Alabama,100018,JEFFERSON COUNTY,AL ,ALABAMA SCHOOL OF FINE ARTS
ALABAMA YOUTH SERVICES,Alabama,100002,MONTGOMERY COUNTY,AL ,ALABAMA YOUTH SERVICES
ALACHUA,Florida,1200030,ALACHUA COUNTY,FL ,ALACHUA
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,3700030,ALAMANCE COUNTY,NC ,ALAMANCE-BURLINGTON SCHOOLS
ALAMEDA CITY UNF,California,601770,ALAMEDA COUNTY,CA ,ALAMEDA CITY UNIFIED
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,601355,ALAMEDA COUNTY,CA ,ALAMEDA CNTY. STUDENT EXCHANGE PROG.
ALAMEDA COUNTY OFFICE OF EDUCATION,California,691051,ALAMEDA COUNTY,CA ,ALAMEDA COUNTY OFFICE OF EDUCATION
ALAMO,Tennessee,4700030,CROCKETT COUNTY,TN ,ALAMO
ALAMO HEIGHTS ISD,Texas,4807590,BEXAR COUNTY,TX ,ALAMO HEIGHTS ISD
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,3500030,OTERO COUNTY,NM ,ALAMOGORDO PUBLIC SCHOOLS
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,802070,ALAMOSA COUNTY,CO ,ALAMOSA SCHOOL DISTRICT NO. RE-11J
ALANSON PUBLIC SCHOOLS,Michigan,2621810,EMMET COUNTY,MI ,ALANSON PUBLIC SCHOOLS
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,200050,SOUTHEAST FAIRBANKS CENSUS AREA,AK ,ALASKA GATEWAY SCHOOL DISTRICT
ALBA PUBLIC SCHOOLS,Michigan,2602040,ANTRIM COUNTY,MI ,ALBA PUBLIC SCHOOLS
ALBA-GOLDEN ISD,Texas,4807650,WOOD COUNTY,TX ,ALBA-GOLDEN ISD
ALBANY CITY SCHOOL DISTRICT,New York,3602460,ALBANY COUNTY,NY ,ALBANY CITY SCHOOL DISTRICT
ALBANY CITY UNF,California,601860,ALAMEDA COUNTY,CA ,ALBANY CITY UNIFIED
ALBANY COMMUNITY CHARTER SCHOOL,New York,3600162,ALBANY COUNTY,NY ,ALBANY COMMUNITY CHARTER SCHOOL
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,5600730,ALBANY COUNTY,WY ,ALBANY COUNTY SCHOOL DISTRICT #1
ALBANY ISD,Texas,4807680,SHACKELFORD COUNTY,TX ,ALBANY ISD
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,New York,3601006,ALBANY COUNTY,NY ,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS
ALBANY PREPARATORY CHARTER SCHOOL,New York,3600130,ALBANY COUNTY,NY ,ALBANY PREPARATORY CHARTER SCHOOL
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,2702930,STEARNS COUNTY,MN ,ALBANY PUBLIC SCHOOL DISTRICT
ALBANY R-III,Missouri,2902970,GENTRY COUNTY,MO ,ALBANY R-III
ALBANY SCHOOL DISTRICT,New Hampshire,3301350,CARROLL COUNTY,NH ,ALBANY SCHOOL DISTRICT
ALBANY SCHOOL DISTRICT,Wisconsin,5500120,GREEN COUNTY,WI ,ALBANY SCHOOL DISTRICT
ALBANY SCHOOL DISTRICT,Vermont,5001740,ORLEANS COUNTY,VT ,ALBANY SCHOOL DISTRICT
ALBEMARLE CO PBLC SCHS,Virginia,5100090,CHARLOTTESVILLE CITY,VA ,ALBEMARLE CO PBLC SCHS
ALBERS SD 63,Illinois,1703270,CLINTON COUNTY,IL ,ALBERS SD 63
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,1900031,BUENA VISTA COUNTY,IA ,ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT
ALBERT GALLATIN AREA SD,Pennsylvania,4202100,FAYETTE COUNTY,PA ,ALBERT GALLATIN AREA SD
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,2702970,FREEBORN COUNTY,MN ,ALBERT LEA PUBLIC SCHOOL DISTRICT
ALBERTON K-12 SCHOOLS,Montana,3001860,MINERAL COUNTY,MT ,ALBERTON K-12 SCHOOLS
ALBERTVILLE CITY,Alabama,100005,MARSHALL COUNTY,AL ,ALBERTVILLE CITY
ALBIA COMM SCHOOL DISTRICT,Iowa,1903270,MONROE COUNTY,IA ,ALBIA COMM SCHOOL DISTRICT
ALBION,Oklahoma,4002580,PUSHMATAHA COUNTY,OK ,ALBION
ALBION CENTRAL SCHOOL DISTRICT,New York,3602520,ORLEANS COUNTY,NY ,ALBION CENTRAL SCHOOL DISTRICT
ALBION PUBLIC SCHOOLS,Michigan,2602070,CALHOUN COUNTY,MI ,ALBION PUBLIC SCHOOLS
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,3500130,BERNALILLO COUNTY,NM ,ALBUQUERQUE INSTITUTE OF MATH & SCIENCE
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,3500060,BERNALILLO COUNTY,NM ,ALBUQUERQUE PUBLIC SCHOOLS
ALBURG SCHOOL DISTRICT,Vermont,5001770,GRAND ISLE COUNTY,VT ,ALBURG SCHOOL DISTRICT
ALBURNETT COMM SCHOOL DISTRICT,Iowa,1903300,LINN COUNTY,IA ,ALBURNETT COMM SCHOOL DISTRICT
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,4600028,UNION COUNTY,SD ,ALCESTER-HUDSON SCHOOL DISTRICT 61-1
ALCOA,Tennessee,4700060,BLOUNT COUNTY,TN ,ALCOA
ALCONA COMMUNITY SCHOOLS,Michigan,2602160,ALCONA COUNTY,MI ,ALCONA COMMUNITY SCHOOLS
ALCORN SCHOOL DIST,Mississippi,2800390,ALCORN COUNTY,MS ,ALCORN SCHOOL DIST
ALDEN CENTRAL SCHOOL DISTRICT,New York,3602550,ERIE COUNTY,NY ,ALDEN CENTRAL SCHOOL DISTRICT
ALDEN COMM SCHOOL DISTRICT,Iowa,1900032,HARDIN COUNTY,IA ,ALDEN COMM SCHOOL DISTRICT
ALDEN HEBRON SD 19,Illinois,1703300,MCHENRY COUNTY,IL ,ALDEN HEBRON SD 19
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,2703030,FREEBORN COUNTY,MN ,ALDEN-CONGER PUBLIC SCHOOL DISTRICT
ALDER ELEM,Montana,3017460,MADISON COUNTY,MT ,ALDER ELEM
ALDINE ISD,Texas,4807710,HARRIS COUNTY,TX ,ALDINE ISD
ALDO LEOPOLD CHARTER,New Mexico,3500138,GRANT COUNTY,NM ,ALDO LEOPOLD CHARTER
ALEDO ISD,Texas,4807780,PARKER COUNTY,TX ,ALEDO ISD
ALEGENT/IMMANUEL RTC,Nebraska,3100181,DOUGLAS COUNTY,NE ,ALEGENT/IMMANUEL RTC
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,200010,ANCHORAGE MUNICIPALITY,AK ,ALEUTIAN REGION SCHOOL DISTRICT
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,200007,ALEUTIANS EAST BOROUGH,AK ,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT
ALEX,Oklahoma,4002670,GRADY COUNTY,OK ,ALEX
ALEXANDER 2,North Dakota,3801760,MCKENZIE COUNTY,ND ,ALEXANDER 2
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,3602580,GENESEE COUNTY,NY ,ALEXANDER CENTRAL SCHOOL DISTRICT
ALEXANDER CITY,Alabama,100030,TALLAPOOSA COUNTY,AL ,ALEXANDER CITY
ALEXANDER COUNTY SCHOOLS,North Carolina,3700090,ALEXANDER COUNTY,NC ,ALEXANDER COUNTY SCHOOLS
ALEXANDER LOCAL,Ohio,3904590,ATHENS COUNTY,OH ,ALEXANDER LOCAL
ALEXANDER SCHOOL DEPARTMENT,Maine,2302280,WASHINGTON COUNTY,ME ,ALEXANDER SCHOOL DEPARTMENT
ALEXANDER VALLEY UNION ELEM,California,601890,SONOMA COUNTY,CA ,ALEXANDER VALLEY UNION ELEMENTARY
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,3602670,JEFFERSON COUNTY,NY ,ALEXANDRIA CENTRAL SCHOOL DISTRICT
ALEXANDRIA CITY PBLC SCHS,Virginia,5100120,ALEXANDRIA CITY,VA ,ALEXANDRIA CITY PBLC SCHS
ALEXANDRIA COM SCHOOL CORP,Indiana,1800120,MADISON COUNTY,IN ,ALEXANDRIA COM SCHOOL CORP
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,2703060,DOUGLAS COUNTY,MN ,ALEXANDRIA PUBLIC SCHOOL DISTRICT
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,3400690,HUNTERDON COUNTY,NJ ,ALEXANDRIA TOWNSHIP
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,3602700,ALLEGANY COUNTY,NY ,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT
ALGOMA SCHOOL DISTRICT,Wisconsin,5500150,KEWAUNEE COUNTY,WI ,ALGOMA SCHOOL DISTRICT
ALGONA COMM SCHOOL DISTRICT,Iowa,1903360,KOSSUTH COUNTY,IA ,ALGONA COMM SCHOOL DISTRICT
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,2602190,ST. CLAIR COUNTY,MI ,ALGONAC COMMUNITY SCHOOL DISTRICT
ALHAMBRA EDUCATION PARTNERSHIPS  INC.,Arizona,400808,MARICOPA COUNTY,AZ ,ALHAMBRA EDUCATION PARTNERSHIPS  INC.
ALHAMBRA ELEMENTARY DISTRICT,Arizona,400600,MARICOPA COUNTY,AZ ,ALHAMBRA ELEMENTARY DISTRICT
ALHAMBRA UNF,California,600153,LOS ANGELES COUNTY,CA ,ALHAMBRA UNIFIED
ALIANZA ACADEMY,Utah,4900149,SALT LAKE COUNTY,UT ,ALIANZA ACADEMY
ALICE ISD,Texas,4807800,JIM WELLS COUNTY,TX ,ALICE ISD
ALIEF ISD,Texas,4807830,HARRIS COUNTY,TX ,ALIEF ISD
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035,HARRIS COUNTY,TX ,ALIEF MONTESSORI COMMUNITY SCHOOL
ALINE-CLEO,Oklahoma,4002720,ALFALFA COUNTY,OK ,ALINE-CLEO
ALIQUIPPA SD,Pennsylvania,4202130,BEAVER COUNTY,PA ,ALIQUIPPA SD
ALISAL UNION,California,601950,MONTEREY COUNTY,CA ,ALISAL UNION
ALL ABOARD CHARTER SCHOOL,Arizona,400396,MARICOPA COUNTY,AZ ,ALL ABOARD CHARTER SCHOOL
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,1903390,ALLAMAKEE COUNTY,IA ,ALLAMAKEE COMM SCHOOL DISTRICT
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,3400720,WARREN COUNTY,NJ ,ALLAMUCHY TOWNSHIP
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,2680100,ALLEGAN COUNTY,MI ,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY
ALLEGAN PUBLIC SCHOOLS,Michigan,2602220,ALLEGAN COUNTY,MI ,ALLEGAN PUBLIC SCHOOLS
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,2400030,ALLEGANY COUNTY,MD ,ALLEGANY COUNTY PUBLIC SCHOOLS
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,3600015,CATTARAUGUS COUNTY,NY ,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT
ALLEGHANY CO PBLC SCHS,Virginia,5100152,ALLEGHANY COUNTY,VA ,ALLEGHANY CO PBLC SCHS
ALLEGHANY COUNTY SCHOOLS,North Carolina,3700120,ALLEGHANY COUNTY,NC ,ALLEGHANY COUNTY SCHOOLS
ALLEGHENY IU 3,Pennsylvania,4289130,ALLEGHENY COUNTY,PA ,ALLEGHENY IU 3
ALLEGHENY VALLEY SD,Pennsylvania,4202190,ALLEGHENY COUNTY,PA ,ALLEGHENY VALLEY SD
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,4202310,CLARION COUNTY,PA ,ALLEGHENY-CLARION VALLEY SD
ALLEN,Oklahoma,4002760,PONTOTOC COUNTY,OK ,ALLEN
ALLEN ACADEMY,Michigan,2600241,WAYNE COUNTY,MI ,ALLEN ACADEMY
ALLEN CO,Kentucky,2100070,ALLEN COUNTY,KY ,ALLEN CO
ALLEN CONSOLIDATED SCHOOLS,Nebraska,3102880,DIXON COUNTY,NE ,ALLEN CONSOLIDATED SCHOOLS
ALLEN COUNTY ESC,Ohio,3904574,ALLEN COUNTY,OH ,ALLEN COUNTY ESC
ALLEN EAST LOCAL,Ohio,3904575,ALLEN COUNTY,OH ,ALLEN EAST LOCAL
ALLEN ISD,Texas,4807890,COLLIN COUNTY,TX ,ALLEN ISD
ALLEN PARISH,Louisiana,2200060,ALLEN PARISH,LA ,ALLEN PARISH
ALLEN PARK PUBLIC SCHOOLS,Michigan,2602520,WAYNE COUNTY,MI ,ALLEN PARK PUBLIC SCHOOLS
ALLEN VILLAGE,Missouri,2900025,JACKSON COUNTY,MO ,ALLEN VILLAGE
ALLEN-BOWDEN,Oklahoma,4002790,CREEK COUNTY,OK ,ALLEN-BOWDEN
ALLEN-COCHRAN ENTERPRISES  INC.,Arizona,400111,MARICOPA COUNTY,AZ ,ALLEN-COCHRAN ENTERPRISES  INC.
ALLEN-OTTER CREEK CCSD 65,Illinois,1703420,LASALLE COUNTY,IL ,ALLEN-OTTER CREEK CCSD 65
ALLENDALE 01,South Carolina,4500750,ALLENDALE COUNTY,SC ,ALLENDALE 01
ALLENDALE BOARD OF EDUCATION,New Jersey,3400750,BERGEN COUNTY,NJ ,ALLENDALE
ALLENDALE CCSD 17,Illinois,1703450,WABASH COUNTY,IL ,ALLENDALE CCSD 17
ALLENDALE PUBLIC SCHOOLS,Michigan,2602550,OTTAWA COUNTY,MI ,ALLENDALE PUBLIC SCHOOL DISTRICT
ALLENHURST,New Jersey,3400780,MONMOUTH COUNTY,NJ ,ALLENHURST
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,3301380,MERRIMACK COUNTY,NH ,ALLENSTOWN SCHOOL DISTRICT
ALLENSWORTH ELEM,California,601980,TULARE COUNTY,CA ,ALLENSWORTH ELEMENTARY
ALLENTOWN CITY SD,Pennsylvania,4202280,LEHIGH COUNTY,PA ,ALLENTOWN CITY SD
ALLIANCE ACADEMY OF CINCINNATI,Ohio,3900130,HAMILTON COUNTY,OH ,ALLIANCE ACADEMY OF CINCINNATI
ALLIANCE CITY,Ohio,3904349,STARK COUNTY,OH ,ALLIANCE CITY
ALLIANCE FOR PROGRESS CS,Pennsylvania,4200039,PHILADELPHIA COUNTY,PA ,ALLIANCE FOR PROGRESS CS
ALLIANCE PUBLIC SCHOOLS,Nebraska,3102910,BOX BUTTE COUNTY,NE ,ALLIANCE PUBLIC SCHOOLS
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,3400810,SALEM COUNTY,NJ ,ALLOWAY TOWNSHIP
ALLSPORT ACADEMY,Arizona,400634,PIMA COUNTY,AZ ,ALLSPORT ACADEMY
ALMA CENTER SCHOOL DISTRICT,Wisconsin,5500210,JACKSON COUNTY,WI ,ALMA CENTER SCHOOL DISTRICT
ALMA D'ARTE CHARTER,New Mexico,3500116,DOнпA ANA COUNTY,NM ,ALMA D'ARTE CHARTER
ALMA DEL MAR CHARTER SCHOOL (DISTRICT),Massachusetts,2500525,дус,MA ,ALMA DEL MAR CHARTER SCHOOL DISTRICT
ALMA PUBLIC SCHOOLS,Nebraska,3100080,HARLAN COUNTY,NE ,ALMA PUBLIC SCHOOLS
ALMA PUBLIC SCHOOLS,Michigan,2602640,GRATIOT COUNTY,MI ,ALMA PUBLIC SCHOOLS
ALMA SCHOOL DISTRICT,Arkansas,502250,CRAWFORD COUNTY,AR ,ALMA SCHOOL DISTRICT
ALMA SCHOOL DISTRICT,Wisconsin,5500180,BUFFALO COUNTY,WI ,ALMA SCHOOL DISTRICT
ALMIRA SCHOOL DISTRICT,Washington,5300090,LINCOLN COUNTY,WA ,ALMIRA SCHOOL DISTRICT
ALMOND-BANCROFT SCHOOL DISTRICT,Wisconsin,5500240,PORTAGE COUNTY,WI ,ALMOND-BANCROFT SCHOOL DISTRICT
ALMONT COMMUNITY SCHOOLS,Michigan,2602670,LAPEER COUNTY,MI ,ALMONT COMMUNITY SCHOOLS
ALOMA D JOHNSON COMMUNITY CHARTER SCHOOL,New York,3600970,ERIE COUNTY,NY ,ALOMA D JOHNSON COMMUNITY CHARTER SCHOOL
ALPAUGH UNF,California,602010,TULARE COUNTY,CA ,ALPAUGH UNIFIED
ALPENA PUBLIC SCHOOLS,Michigan,2602730,ALPENA COUNTY,MI ,ALPENA PUBLIC SCHOOLS
ALPENA SCHOOL DISTRICT,Arkansas,502280,BOONE COUNTY,AR ,ALPENA SCHOOL DISTRICT
ALPENA-MONTMORENCY-ALCONA ESD,Michigan,2680120,ALPENA COUNTY,MI ,ALPENA-MONTMORENCY-ALCONA ESD
ALPHA ACADEMY,North Carolina,3700103,CUMBERLAND COUNTY,NC ,ALPHA ACADEMY
ALPHA BOROUGH PUBLIC SCHOOL,New Jersey,3400840,WARREN COUNTY,NJ ,ALPHA
ALPHA CHARTER SCHOOL,Texas,4800185,DALLAS COUNTY,TX ,ALPHA CHARTER SCHOOL
ALPHONSO CRUTCH'S-LIFE SUPPORT CENTER,Texas,4800111,HARRIS COUNTY,TX ,ALPHONSO CRUTCH'S-LIFE SUPPORT CENTER
ALPINE COUNTY OFFICE OF EDUCATION,California,691058,ALPINE COUNTY,CA ,ALPINE COUNTY OFFICE OF EDUCATION
ALPINE COUNTY UNF,California,602070,ALPINE COUNTY,CA ,ALPINE COUNTY UNIFIED
ALPINE DISTRICT,Utah,4900030,UTAH COUNTY,UT ,ALPINE DISTRICT
ALPINE ELEMENTARY DISTRICT,Arizona,400630,APACHE COUNTY,AZ ,ALPINE ELEMENTARY DISTRICT
ALPINE ELEMENTARY SCHOOL DISTRICT,New Jersey,3400870,BERGEN COUNTY,NJ ,ALPINE
ALPINE ISD,Texas,4807950,BREWSTER COUNTY,TX ,ALPINE ISD
ALPINE UNION ELEM,California,602100,SAN DIEGO COUNTY,CA ,ALPINE UNION ELEMENTARY
ALSEA SD 7J,Oregon,4101200,BENTON COUNTY,OR ,ALSEA SD 7J
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,1703480,COOK COUNTY,IL ,ALSIP-HAZLGRN-OAKLWN SD 126
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,5100078,MONTGOMERY COUNTY,VA ,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY
ALTA COMM SCHOOL DISTRICT,Iowa,1903480,BUENA VISTA COUNTY,IA ,ALTA COMM SCHOOL DISTRICT
ALTA LOMA ELEM,California,602160,SAN BERNARDINO COUNTY,CA ,ALTA LOMA ELEMENTARY
ALTA VISTA CHARTER SCH.,Missouri,2900029,JACKSON COUNTY,MO ,ALTA VISTA CHARTER SCH.
ALTA VISTA ELEM,California,602220,TULARE COUNTY,CA ,ALTA VISTA ELEMENTARY
ALTA-DUTCH FLAT UNION ELEM,California,602250,PLACER COUNTY,CA ,ALTA-DUTCH FLAT UNION ELEMENTARY
ALTAMONT CUSD 10,Illinois,1703510,EFFINGHAM COUNTY,IL ,ALTAMONT CUSD 10
ALTAR VALLEY ELEMENTARY DISTRICT,Arizona,404770,PIMA COUNTY,AZ ,ALTAR VALLEY ELEMENTARY DISTRICT
ALTENBURG 48,Missouri,2903040,PERRY COUNTY,MO ,ALTENBURG 48
ALTERNATIVE EDUCATION ACADEMY,Ohio,3900203,LUCAS COUNTY,OH ,ALTERNATIVE EDUCATION ACADEMY
ALTERNATIVES ACADEMY/JOURNEYS,Nebraska,3100173,SARPY COUNTY,NE ,ALTERNATIVES ACADEMY/JOURNEYS
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,New York,3602820,OSWEGO COUNTY,NY ,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT
ALTO ISD,Texas,4807980,CHEROKEE COUNTY,TX ,ALTO ISD
ALTON CUSD 11,Illinois,1703600,MADISON COUNTY,IL ,ALTON CUSD 11
ALTON R-IV,Missouri,2903060,OREGON COUNTY,MO ,ALTON R-IV
ALTON SAU OFFICE,New Hampshire,3300020,BELKNAP COUNTY,NH ,ALTON SAU OFFICE
ALTON SCHOOL DISTRICT,New Hampshire,3301440,BELKNAP COUNTY,NH ,ALTON SCHOOL DISTRICT
ALTOONA AREA SD,Pennsylvania,4202340,BLAIR COUNTY,PA ,ALTOONA AREA SD
ALTOONA SCHOOL DISTRICT,Wisconsin,5500270,EAU CLAIRE COUNTY,WI ,ALTOONA SCHOOL DISTRICT
ALTOONA-MIDWAY,Kansas,2004170,WILSON COUNTY,KS ,ALTOONA-MIDWAY
ALTUS,Oklahoma,4002850,JACKSON COUNTY,OK ,ALTUS
ALUM ROCK UNION ELEM,California,602310,SANTA CLARA COUNTY,CA ,ALUM ROCK UNION ELEMENTARY
ALVA,Oklahoma,4002880,WOODS COUNTY,OK ,ALVA
ALVARADO ISD,Texas,4800011,JOHNSON COUNTY,TX ,ALVARADO ISD
ALVIEW-DAIRYLAND UNION ELEM,California,602360,MADERA COUNTY,CA ,ALVIEW-DAIRYLAND UNION ELEMENTARY
ALVIN C YORK INSTITUTE,Tennessee,4700144,FENTRESS COUNTY,TN ,ALVIN C. YORK INSTITUTE
ALVIN ISD,Texas,4808090,BRAZORIA COUNTY,TX ,ALVIN ISD
ALVINA ELEM,California,602370,FRESNO COUNTY,CA ,ALVINA ELEMENTARY
ALVORD ISD,Texas,4808100,WISE COUNTY,TX ,ALVORD ISD
ALVORD UNF,California,602430,RIVERSIDE COUNTY,CA ,ALVORD UNIFIED
ALWOOD CUSD 225,Illinois,1703660,HENRY COUNTY,IL ,ALWOOD CUSD 225
ALXNDR/JOHN/MASC/PULSKI/UNON ROE,Illinois,1700163,ALEXANDER COUNTY,IL ,ALXNDR/JOHN/MASC/PULSKI/UNION ROE
ALZADA ELEM,Montana,3001950,CARTER COUNTY,MT ,ALZADA ELEM
AMADOR COUNTY OFFICE OF EDUCATION,California,691001,AMADOR COUNTY,CA ,AMADOR COUNTY OFFICE OF EDUCATION
AMADOR COUNTY ROP,California,600089,AMADOR COUNTY,CA ,AMADOR COUNTY ROP
AMADOR COUNTY UNF,California,602450,AMADOR COUNTY,CA ,AMADOR COUNTY UNIFIED
AMAGANSETT UNION FREE SCHOOL DISTRICT,New York,3602880,SUFFOLK COUNTY,NY ,AMAGANSETT UNION FREE SCHOOL DISTRICT
AMANDA-CLEARCREEK LOCAL,Ohio,3904684,FAIRFIELD COUNTY,OH ,AMANDA-CLEARCREEK LOCAL
AMARILLO ISD,Texas,4808130,POTTER COUNTY,TX ,AMARILLO ISD
AMBASSADOR ACADEMY,Arizona,400753,MARICOPA COUNTY,AZ ,AMBASSADOR ACADEMY
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284,GALVESTON COUNTY,TX ,AMBASSADORS PREPARATORY ACADEMY
AMBER CHARTER SCHOOL,New York,3600039,NEW YORK COUNTY,NY ,AMBER CHARTER SCHOOL
AMBER-POCASSET,Oklahoma,4002910,GRADY COUNTY,OK ,AMBER-POCASSET
AMBOY CUSD 272,Illinois,1703690,LEE COUNTY,IL ,AMBOY CUSD 272
AMBRIDGE AREA SD,Pennsylvania,4202440,BEAVER COUNTY,PA ,AMBRIDGE AREA SD
AMELIA CO PBLC SCHS,Virginia,5100180,AMELIA COUNTY,VA ,AMELIA CO PBLC SCHS
AMELIA-NOTTOWAY VOC CTR,Virginia,5100013,AMELIA COUNTY,VA ,AMELIA-NOTTOWAY VOC CTR
AMERICAN BASIC SCHOOLS LLC,Arizona,400218,MARICOPA COUNTY,AZ ,AMERICAN BASIC SCHOOLS LLC
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VISTA HIGH S,Arizona,400619,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VISTA HIGH S
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE TRAIL HIGH,Arizona,400357,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE TRAIL HIGH
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVIEW COLLEGE,Arizona,400385,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVIEW COLLEGE
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT HILLS HIGH,Arizona,400384,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT HILLS HIGH
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELLA HIGH SCH,Arizona,400352,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELLA HIGH SCH
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA ACCELERATE,Arizona,400353,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA ACCELERATE
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH POINTE HIGH,Arizona,400618,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH POINTE HIGH
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH RIDGE HIGH,Arizona,400447,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH RIDGE HIGH
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VALLEY HIGH S,Arizona,400354,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VALLEY HIGH S
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PHOENIX HIGH,Arizona,400355,MARICOPA COUNTY,AZ ,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PHOENIX HIGH
AMERICAN FALLS JOINT DISTRICT,Idaho,1600060,POWER COUNTY,ID ,AMERICAN FALLS JOINT DISTRICT
AMERICAN HERITAGE ACADEMY,Arizona,400130,YAVAPAI COUNTY,AZ ,AMERICAN HERITAGE ACADEMY
AMERICAN LEADERSHIP ACADEMY,Utah,4900033,UTAH COUNTY,UT ,AMERICAN LEADERSHIP ACADEMY
AMERICAN LEADERSHIP ACADEMY  INC.,Arizona,400112,MARICOPA COUNTY,AZ ,AMERICAN LEADERSHIP ACADEMY  INC.
AMERICAN MONTESSORI ACADEMY,Michigan,2600312,WAYNE COUNTY,MI ,AMERICAN MONTESSORI ACADEMY
AMERICAN PREPARATORY ACADEMY--LEA,Utah,4900005,SALT LAKE COUNTY,UT ,AMERICAN PREPARATORY ACADEMY
AMERICAN RENAISSANCE SCHOOL,North Carolina,3700086,IREDELL COUNTY,NC ,AMERICAN RENAISSANCE MIDDLE
AMERICAN UNION ELEMENTARY,California,602550,FRESNO COUNTY,CA ,AMERICAN UNION ELEMENTARY
