Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,5500060,ADAMS COUNTY,WI ,ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT
ADAMS-WELLS SPECIAL SERVICES COOP,Indiana,1800100,WELLS COUNTY,IN ,ADAMS-WELLS SPECIAL SERVICES COOP
ADAMS/PIKE ROE,Illinois,1700162,ADAMS COUNTY,IL ,ADAMS/PIKE ROE
ADDISON CENTRAL SCHOOL DISTRICT,New York,3602370,STEUBEN COUNTY,NY ,ADDISON CENTRAL SCHOOL DISTRICT
ADDISON CENTRAL SUPERVISORY UNION,Vermont,5099903,ADDISON COUNTY,VT ,ADDISON CENTRAL SUPERVISORY UNION
ADDISON COMMUNITY SCHOOLS,Michigan,2601920,LENAWEE COUNTY,MI ,ADDISON COMMUNITY SCHOOLS
ADDISON NORTHEAST SUPERVISORY UNION,Vermont,5099901,ADDISON COUNTY,VT ,ADDISON NORTHEAST SUPERVISORY UNION
ADDISON NORTHWEST SUPERVISORY UNION,Vermont,5099902,ADDISON COUNTY,VT ,ADDISON NORTHWEST SUPERVISORY UNION
ADDISON RUTLAND SUPERVISORY UNION,Vermont,5099904,RUTLAND COUNTY,VT ,ADDISON RUTLAND SUPERVISORY UNION
ADDISON SCHOOL DISTRICT,Vermont,5001710,ADDISON COUNTY,VT ,ADDISON SCHOOL DISTRICT
ADDISON SD 4,Illinois,1703150,DUPAGE COUNTY,IL ,ADDISON SD 4
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,1903150,DALLAS COUNTY,IA ,ADEL DESOTO MINBURN COMM SCHOOL DISTRICT
ADEL SD 21,Oregon,4100990,LAKE COUNTY,OR ,ADEL SD 21
ADELAIDE L. SANFORD CHARTER SCHOOL,New Jersey,3400716,ESSEX COUNTY,NJ ,ADELAIDE L  SANDFORD CS
ADELANTO ELEM,California,601710,SAN BERNARDINO COUNTY,CA ,ADELANTO ELEMENTARY
ADENA LOCAL,Ohio,3904949,ROSS COUNTY,OH ,ADENA LOCAL
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,3605040,ONEIDA COUNTY,NY ,ADIRONDACK CENTRAL SCHOOL DISTRICT
ADLAI E STEVENSON HSD 125,Illinois,1732580,LAKE COUNTY,IL ,ADLAI E STEVENSON HSD 125
ADMIRAL PEARY AVTS,Pennsylvania,4280120,CAMBRIA COUNTY,PA ,ADMIRAL PEARY AVTS
ADNA SCHOOL DISTRICT,Washington,5300060,LEWIS COUNTY,WA ,ADNA SCHOOL DISTRICT
ADRIAN ISD,Texas,4807500,OLDHAM COUNTY,TX ,ADRIAN ISD
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,2702730,NOBLES COUNTY,MN ,ADRIAN PUBLIC SCHOOL DISTRICT
ADRIAN R-III,Missouri,2902850,BATES COUNTY,MO ,ADRIAN R-III
ADRIAN SCHOOL DISTRICT OF THE CITY OF,Michigan,2601950,LENAWEE COUNTY,MI ,ADRIAN CITY SCHOOL DISTRICT
ADRIAN SD 61,Oregon,4101020,MALHEUR COUNTY,OR ,ADRIAN SD 61
ADVANCE R-IV,Missouri,2902880,STODDARD COUNTY,MO ,ADVANCE R-IV
ADVANCED EDUCATION SERVICES  INC.,Arizona,400188,MARICOPA COUNTY,AZ ,ADVANCED EDUCATION SERVICES  INC.
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,2500085,MIDDLESEX COUNTY,MA ,ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT)
ADVANCED TECHNOLOGY ACADEMY,Michigan,2600255,WAYNE COUNTY,MI ,ADVANCED TECHNOLOGY ACADEMY
ADVANTAGE ACADEMY,Texas,4800041,DALLAS COUNTY,TX ,ADVANTAGE ACADEMY
AEA 11 HEARTLAND AEA,Iowa,1999011,POLK COUNTY,IA ,HEARTLAND AEA
AEA 13 GREEN HILLS AEA,Iowa,1999013,POTTAWATTAMIE COUNTY,IA ,AEA 13 GREEN HILLS AEA
AEA 267,Iowa,1999007,BLACK HAWK COUNTY,IA ,AEA 267
AFFTON 101,Missouri,2902910,ST. LOUIS COUNTY,MO ,AFFTON 101
AFSA HIGH SCHOOL,Minnesota,2700186,RAMSEY COUNTY,MN ,AFSA HIGH SCHOOL
AFTON,Oklahoma,4002520,OTTAWA COUNTY,OK ,AFTON
AFTON CENTRAL SCHOOL DISTRICT,New York,3602400,CHENANGO COUNTY,NY ,AFTON CENTRAL SCHOOL DISTRICT
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,4600042,SULLY COUNTY,SD ,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3
AGATE SCHOOL DISTRICT NO. 300,Colorado,801980,ELBERT COUNTY,CO ,AGATE SCHOOL DISTRICT NO. 300
AGAWAM,Massachusetts,2501800,HAMPDEN COUNTY,MA ,AGAWAM
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,2600106,OAKLAND COUNTY,MI ,AGBU ALEX-MARIE MANOOGIAN SCHOOL
AGORA CYBER CS,Pennsylvania,4200140,CHESTER COUNTY,PA ,AGORA CYBER CS
AGRA,Oklahoma,4002550,LINCOLN COUNTY,OK ,AGRA
AGUA DULCE ISD,Texas,4807530,NUECES COUNTY,TX ,AGUA DULCE ISD
AGUA FRIA UNION HIGH SCHOOL DISTRICT,Arizona,400450,MARICOPA COUNTY,AZ ,AGUA FRIA UNION HIGH SCHOOL DISTRICT
AGUILA ELEMENTARY DISTRICT,Arizona,400480,MARICOPA COUNTY,AZ ,AGUILA ELEMENTARY DISTRICT
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,802010,LAS ANIMAS COUNTY,CO ,AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6
AGWSR COMM SCHOOL DISTRICT,Iowa,1903060,HARDIN COUNTY,IA ,AGWSR COMM SCHOOL DISTRICT
AHWATUKEE FOOTHILLS PREP  INC.,Arizona,400418,MARICOPA COUNTY,AZ ,AHWATUKEE FOOTHILLS PREP  INC.
AHWATUKEE FOOTHILLS PREP EARLY COLLEGE HIGH SCHOOL  INC.,Arizona,400827,MARICOPA COUNTY,AZ ,AHWATUKEE FOOTHILLS PREP EARLY COLLEGE HIGH SCHOOL  INC.
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX,Arizona,400274,MARICOPA COUNTY,AZ ,AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX
AIKEN 01,South Carolina,4500720,AIKEN COUNTY,SC ,AIKEN 01
AINSWORTH COMMUNITY SCHOOLS,Nebraska,3102790,BROWN COUNTY,NE ,AINSWORTH COMMUNITY SCHOOLS
AIRLINE CSD,Maine,2302500,PENOBSCOT COUNTY,ME ,AIRLINE CSD
AIRPORT COMMUNITY SCHOOLS,Michigan,2601980,MONROE COUNTY,MI ,AIRPORT COMMUNITY SCHOOL DISTRICT
AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL,Michigan,2600124,WAYNE COUNTY,MI ,AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,2702760,AITKIN COUNTY,MN ,AITKIN PUBLIC SCHOOL DISTRICT
AJO UNIFIED DISTRICT,Arizona,400520,PIMA COUNTY,AZ ,AJO UNIFIED DISTRICT
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL  INC.,Arizona,400404,PINAL COUNTY,AZ ,AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL  INC.
AKIN CCSD 91,Illinois,1703210,FRANKLIN COUNTY,IL ,AKIN CCSD 91
AKRON CENTRAL SCHOOL DISTRICT,New York,3602430,ERIE COUNTY,NY ,AKRON CENTRAL SCHOOL DISTRICT
AKRON CITY,Ohio,3904348,SUMMIT COUNTY,OH ,AKRON CITY
AKRON DIGITAL ACADEMY,Ohio,3900152,SUMMIT COUNTY,OH ,AKRON DIGITAL ACADEMY
AKRON SCHOOL DISTRICT NO. R-1,Colorado,802040,WASHINGTON COUNTY,CO ,AKRON SCHOOL DISTRICT NO. R-1
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,1903220,PLYMOUTH COUNTY,IA ,AKRON WESTFIELD COMM SCHOOL DISTRICT
AKRON-FAIRGROVE SCHOOLS,Michigan,2602010,TUSCOLA COUNTY,MI ,AKRON-FAIRGROVE SCHOOLS
AKROS MIDDLE SCHOOL,Ohio,3901428,SUMMIT COUNTY,OH ,AKROS MIDDLE SCHOOL
AL INST DEAF AND BLIND,Alabama,100009,TALLADEGA COUNTY,AL ,AL INST DEAF AND BLIND
AL PRICE STATE JUVENILE CORRECTIONAL FACILITY,Texas,4800222,JEFFERSON COUNTY,TX ,AL PRICE STATE JUVENILE CORRECTIONAL FACILITY
